"","Source","Target","gender","n"
"1",0,3,"F",110
"2",0,3,"M",375
"3",0,4,"F",45
"4",0,4,"M",225
"5",0,5,"F",20
"6",0,5,"M",125
"7",0,6,"F",25
"8",0,6,"M",90
"9",0,7,"F",5
"10",0,7,"M",30
"11",0,8,"F",5
"12",0,8,"M",20
"13",0,9,"F",10
"14",0,9,"M",40
"15",0,10,"F",5
"16",0,10,"M",20
"17",0,11,"F",10
"18",0,11,"M",10
"19",0,12,"M",5
"20",0,14,"M",5
"21",1,3,"F",55
"22",1,3,"M",165
"23",1,4,"F",50
"24",1,4,"M",255
"25",1,5,"F",45
"26",1,5,"M",235
"27",1,6,"F",10
"28",1,6,"M",35
"29",1,7,"F",5
"30",1,7,"M",20
"31",1,8,"F",5
"32",1,8,"M",20
"33",1,9,"F",10
"34",1,9,"M",20
"35",1,10,"F",5
"36",1,10,"M",15
"37",1,11,"F",10
"38",1,11,"M",15
"39",2,3,"F",5
"40",2,3,"M",10
"41",2,4,"F",10
"42",2,4,"M",30
"43",2,5,"F",75
"44",2,5,"M",150
"45",2,6,"F",5
"46",2,6,"M",5
"47",2,7,"F",5
"48",2,7,"M",20
"49",2,8,"F",5
"50",2,8,"M",30
"51",2,9,"F",5
"52",2,9,"M",15
"53",2,10,"F",10
"54",2,10,"M",20
"55",2,11,"F",25
"56",2,11,"M",50
"57",2,12,"M",5
"58",2,14,"M",10
"59",3,6,"F",25
"60",3,6,"M",165
"61",3,7,"F",20
"62",3,7,"M",65
"63",3,8,"M",5
"64",3,9,"F",10
"65",3,9,"M",10
"66",3,10,"F",5
"67",3,10,"M",5
"68",3,11,"F",5
"69",4,6,"F",15
"70",4,6,"M",95
"71",4,7,"F",30
"72",4,7,"M",175
"73",4,8,"F",10
"74",4,8,"M",55
"75",4,9,"F",5
"76",4,9,"M",10
"77",4,10,"M",10
"78",4,11,"M",5
"79",5,6,"F",10
"80",5,6,"M",60
"81",5,7,"F",15
"82",5,7,"M",75
"83",5,8,"F",55
"84",5,8,"M",195
"85",5,9,"M",10
"86",5,10,"F",5
"87",5,10,"M",10
"88",5,11,"F",5
"89",5,11,"M",15
"90",5,12,"M",5
"91",6,9,"F",10
"92",6,9,"M",55
"93",6,10,"F",5
"94",6,10,"M",15
"95",6,11,"M",5
"96",7,9,"F",15
"97",7,9,"M",85
"98",7,10,"F",25
"99",7,10,"M",90
"100",7,11,"F",5
"101",7,11,"M",20
"102",8,9,"F",5
"103",8,9,"M",30
"104",8,10,"F",15
"105",8,10,"M",70
"106",8,11,"F",35
"107",8,11,"M",115
"108",8,12,"M",5
"109",9,12,"F",5
"110",9,12,"M",10
"111",9,13,"M",5
"112",10,12,"F",15
"113",10,12,"M",80
"114",10,13,"F",20
"115",10,13,"M",35
"116",10,14,"F",5
"117",10,14,"M",10
"118",11,12,"F",10
"119",11,12,"M",25
"120",11,13,"F",20
"121",11,13,"M",45
"122",11,14,"F",35
"123",11,14,"M",75
