"","Source","Target","gender","n"
"1",0,8,"F",5
"2",0,8,"M",10
"3",0,7,"F",5
"4",0,7,"M",25
"5",0,6,"F",70
"6",0,6,"M",150
"7",0,11,"F",5
"8",0,11,"M",5
"9",0,10,"F",5
"10",0,10,"M",10
"11",0,9,"F",5
"12",0,9,"M",20
"13",0,5,"F",285
"14",0,5,"M",145
"15",0,4,"F",535
"16",0,4,"M",355
"17",0,3,"F",410
"18",0,3,"M",480
"19",0,14,"F",5
"20",0,14,"M",5
"21",0,13,"F",5
"22",0,13,"M",5
"23",0,12,"F",5
"24",0,12,"M",35
"25",0,17,"M",5
"26",0,15,"M",5
"27",1,8,"F",50
"28",1,8,"M",150
"29",1,7,"F",45
"30",1,7,"M",255
"31",1,6,"F",45
"32",1,6,"M",235
"33",1,11,"F",5
"34",1,11,"M",15
"35",1,10,"F",5
"36",1,10,"M",10
"37",1,9,"F",5
"38",1,9,"M",10
"39",1,5,"F",325
"40",1,5,"M",265
"41",1,4,"F",145
"42",1,4,"M",175
"43",1,3,"F",15
"44",1,3,"M",40
"45",1,14,"F",5
"46",1,14,"M",10
"47",1,13,"M",5
"48",1,12,"F",5
"49",1,12,"M",5
"50",2,8,"F",90
"51",2,8,"M",335
"52",2,7,"F",40
"53",2,7,"M",220
"54",2,6,"F",20
"55",2,6,"M",125
"56",2,11,"F",15
"57",2,11,"M",65
"58",2,10,"F",5
"59",2,10,"M",20
"60",2,9,"F",5
"61",2,9,"M",15
"62",2,5,"F",310
"63",2,5,"M",340
"64",2,4,"F",85
"65",2,4,"M",80
"66",2,3,"F",35
"67",2,3,"M",40
"68",2,14,"F",5
"69",2,14,"M",20
"70",2,13,"M",15
"71",2,12,"F",5
"72",2,12,"M",5
"73",2,17,"M",5
"74",2,15,"M",5
"75",3,11,"M",5
"76",3,10,"M",5
"77",3,9,"F",5
"78",3,9,"M",5
"79",3,14,"F",5
"80",3,14,"M",5
"81",3,13,"F",5
"82",3,13,"M",5
"83",3,12,"F",10
"84",3,12,"M",10
"85",4,8,"F",5
"86",4,8,"M",5
"87",4,7,"M",5
"88",4,11,"F",5
"89",4,11,"M",10
"90",4,10,"F",5
"91",4,10,"M",10
"92",4,9,"F",5
"93",4,9,"M",5
"94",4,14,"F",5
"95",4,14,"M",10
"96",4,13,"F",5
"97",4,13,"M",20
"98",4,12,"F",15
"99",4,12,"M",5
"100",5,8,"F",20
"101",5,8,"M",50
"102",5,7,"F",5
"103",5,7,"M",5
"104",5,11,"F",10
"105",5,11,"M",40
"106",5,10,"F",5
"107",5,10,"M",15
"108",5,9,"M",5
"109",5,14,"F",5
"110",5,14,"M",20
"111",5,13,"F",5
"112",5,13,"M",5
"113",5,12,"F",5
"114",5,12,"M",5
"115",6,11,"F",10
"116",6,11,"M",55
"117",6,10,"F",15
"118",6,10,"M",70
"119",6,9,"F",55
"120",6,9,"M",190
"121",6,14,"M",5
"122",6,13,"F",5
"123",6,13,"M",5
"124",6,12,"F",5
"125",6,12,"M",15
"126",6,17,"M",5
"127",7,11,"F",15
"128",7,11,"M",90
"129",7,10,"F",30
"130",7,10,"M",175
"131",7,9,"F",10
"132",7,9,"M",50
"133",7,14,"F",5
"134",7,14,"M",5
"135",7,13,"M",10
"136",7,12,"M",5
"137",8,11,"F",25
"138",8,11,"M",160
"139",8,10,"F",20
"140",8,10,"M",65
"141",8,9,"M",5
"142",8,14,"F",10
"143",8,14,"M",5
"144",8,13,"F",5
"145",8,13,"M",5
"146",8,12,"F",5
"147",9,14,"F",5
"148",9,14,"M",30
"149",9,13,"F",15
"150",9,13,"M",70
"151",9,12,"F",35
"152",9,12,"M",115
"153",9,17,"M",5
"154",10,14,"F",15
"155",10,14,"M",85
"156",10,13,"F",20
"157",10,13,"M",90
"158",10,12,"F",5
"159",10,12,"M",20
"160",11,14,"F",10
"161",11,14,"M",50
"162",11,13,"F",5
"163",11,13,"M",15
"164",11,12,"M",5
"165",12,17,"F",5
"166",12,17,"M",25
"167",12,16,"F",15
"168",12,16,"M",45
"169",12,15,"F",35
"170",12,15,"M",70
"171",13,17,"F",10
"172",13,17,"M",75
"173",13,16,"F",15
"174",13,16,"M",35
"175",13,15,"F",5
"176",13,15,"M",10
"177",14,17,"F",5
"178",14,17,"M",10
"179",14,16,"M",5
