"","Source","Target","gender","n"
"1",0,3,"F",110
"2",0,4,"F",45
"3",0,5,"F",20
"4",0,6,"F",25
"5",0,7,"F",5
"6",0,8,"F",5
"7",0,9,"F",10
"8",0,10,"F",5
"9",0,11,"F",10
"10",1,3,"F",55
"11",1,4,"F",50
"12",1,5,"F",45
"13",1,6,"F",10
"14",1,7,"F",5
"15",1,8,"F",5
"16",1,9,"F",10
"17",1,10,"F",5
"18",1,11,"F",10
"19",2,3,"F",5
"20",2,4,"F",10
"21",2,5,"F",75
"22",2,6,"F",5
"23",2,7,"F",5
"24",2,8,"F",5
"25",2,9,"F",5
"26",2,10,"F",10
"27",2,11,"F",25
"28",3,6,"F",25
"29",3,7,"F",20
"30",3,9,"F",10
"31",3,10,"F",5
"32",3,11,"F",5
"33",4,6,"F",15
"34",4,7,"F",30
"35",4,8,"F",10
"36",4,9,"F",5
"37",5,6,"F",10
"38",5,7,"F",15
"39",5,8,"F",55
"40",5,10,"F",5
"41",5,11,"F",5
"42",6,9,"F",10
"43",6,10,"F",5
"44",7,9,"F",15
"45",7,10,"F",25
"46",7,11,"F",5
"47",8,9,"F",5
"48",8,10,"F",15
"49",8,11,"F",35
"50",9,12,"F",5
"51",10,12,"F",15
"52",10,13,"F",20
"53",10,14,"F",5
"54",11,12,"F",10
"55",11,13,"F",20
"56",11,14,"F",35
