"","Source","Target","gender","n"
"1",0,8,"F",5
"2",0,7,"F",5
"3",0,6,"F",70
"4",0,11,"F",5
"5",0,10,"F",5
"6",0,9,"F",5
"7",0,5,"F",285
"8",0,4,"F",535
"9",0,3,"F",410
"10",0,14,"F",5
"11",0,13,"F",5
"12",0,12,"F",5
"13",1,8,"F",50
"14",1,7,"F",45
"15",1,6,"F",45
"16",1,11,"F",5
"17",1,10,"F",5
"18",1,9,"F",5
"19",1,5,"F",325
"20",1,4,"F",145
"21",1,3,"F",15
"22",1,14,"F",5
"23",1,12,"F",5
"24",2,8,"F",90
"25",2,7,"F",40
"26",2,6,"F",20
"27",2,11,"F",15
"28",2,10,"F",5
"29",2,9,"F",5
"30",2,5,"F",310
"31",2,4,"F",85
"32",2,3,"F",35
"33",2,14,"F",5
"34",2,12,"F",5
"35",3,9,"F",5
"36",3,14,"F",5
"37",3,13,"F",5
"38",3,12,"F",10
"39",4,8,"F",5
"40",4,11,"F",5
"41",4,10,"F",5
"42",4,9,"F",5
"43",4,14,"F",5
"44",4,13,"F",5
"45",4,12,"F",15
"46",5,8,"F",20
"47",5,7,"F",5
"48",5,11,"F",10
"49",5,10,"F",5
"50",5,14,"F",5
"51",5,13,"F",5
"52",5,12,"F",5
"53",6,11,"F",10
"54",6,10,"F",15
"55",6,9,"F",55
"56",6,13,"F",5
"57",6,12,"F",5
"58",7,11,"F",15
"59",7,10,"F",30
"60",7,9,"F",10
"61",7,14,"F",5
"62",8,11,"F",25
"63",8,10,"F",20
"64",8,14,"F",10
"65",8,13,"F",5
"66",8,12,"F",5
"67",9,14,"F",5
"68",9,13,"F",15
"69",9,12,"F",35
"70",10,14,"F",15
"71",10,13,"F",20
"72",10,12,"F",5
"73",11,14,"F",10
"74",11,13,"F",5
"75",12,17,"F",5
"76",12,16,"F",15
"77",12,15,"F",35
"78",13,17,"F",10
"79",13,16,"F",15
"80",13,15,"F",5
"81",14,17,"F",5
