"","Source","Target","gender","n"
"1",0,3,70,31.8181818181818
"2",0,4,5,16.6666666666667
"3",0,5,5,33.3333333333333
"4",0,6,5,16.6666666666667
"5",0,7,5,25
"6",0,8,5,50
"7",0,9,25,33.3333333333333
"8",0,10,10,33.3333333333333
"9",0,11,5,25
"10",1,3,45,16.0714285714286
"11",1,4,50,16.3934426229508
"12",1,5,55,25.5813953488372
"13",1,6,5,25
"14",1,7,5,20
"15",1,8,10,22.2222222222222
"16",1,9,5,33.3333333333333
"17",1,10,5,25
"18",1,11,5,25
"19",2,3,20,13.7931034482759
"20",2,4,40,15.3846153846154
"21",2,5,105,21.875
"22",2,6,5,25
"23",2,7,5,14.2857142857143
"24",2,8,20,18.1818181818182
"25",2,9,10,50
"26",2,10,5,20
"27",2,11,5,11.1111111111111
"28",3,6,55,22.4489795918367
"29",3,7,15,17.6470588235294
"30",3,8,10,15.3846153846154
"31",3,9,5,25
"32",3,10,5,50
"33",4,6,10,16.6666666666667
"34",4,7,30,14.6341463414634
"35",4,8,15,14.2857142857143
"36",4,11,5,50
"37",5,7,20,23.5294117647059
"38",5,8,25,13.5135135135135
"39",5,10,5,50
"40",5,11,10,66.6666666666667
"41",6,9,35,23.3333333333333
"42",6,10,15,17.6470588235294
"43",6,11,5,14.2857142857143
"44",7,9,5,20
"45",7,10,20,18.1818181818182
"46",7,11,15,15
"47",8,10,5,25
"48",8,11,10,16.6666666666667
"49",9,12,35,33.3333333333333
"50",9,13,15,25
"51",9,14,5,16.6666666666667
"52",10,12,5,33.3333333333333
"53",10,13,15,30
"54",10,14,10,11.7647058823529
"55",11,14,5,33.3333333333333
