"","Source","Target","gender","n"
"1",0,3,410,46.0674157303371
"2",0,4,535,60.1123595505618
"3",0,5,285,66.2790697674419
"4",0,6,70,31.8181818181818
"5",0,7,5,16.6666666666667
"6",0,8,5,33.3333333333333
"7",0,9,5,20
"8",0,10,5,33.3333333333333
"9",0,11,5,50
"10",0,12,5,12.5
"11",0,13,5,50
"12",0,14,5,50
"13",1,3,15,27.2727272727273
"14",1,4,145,45.3125
"15",1,5,325,55.0847457627119
"16",1,6,45,16.0714285714286
"17",1,7,45,15
"18",1,8,50,25
"19",1,9,5,33.3333333333333
"20",1,10,5,33.3333333333333
"21",1,11,5,25
"22",1,12,5,50
"23",1,14,5,33.3333333333333
"24",2,3,35,46.6666666666667
"25",2,4,85,51.5151515151515
"26",2,5,310,47.6923076923077
"27",2,6,20,13.7931034482759
"28",2,7,40,15.3846153846154
"29",2,8,90,21.1764705882353
"30",2,9,5,25
"31",2,10,5,20
"32",2,11,15,18.75
"33",2,12,5,50
"34",2,14,5,20
"35",3,9,5,50
"36",3,12,10,50
"37",3,13,5,50
"38",3,14,5,50
"39",4,8,5,50
"40",4,9,5,50
"41",4,10,5,33.3333333333333
"42",4,11,5,33.3333333333333
"43",4,12,15,75
"44",4,13,5,20
"45",4,14,5,33.3333333333333
"46",5,7,5,50
"47",5,8,20,28.5714285714286
"48",5,10,5,25
"49",5,11,10,20
"50",5,12,5,50
"51",5,13,5,50
"52",5,14,5,20
"53",6,9,55,22.4489795918367
"54",6,10,15,17.6470588235294
"55",6,11,10,15.3846153846154
"56",6,12,5,25
"57",6,13,5,50
"58",7,9,10,16.6666666666667
"59",7,10,30,14.6341463414634
"60",7,11,15,14.2857142857143
"61",7,14,5,50
"62",8,10,20,23.5294117647059
"63",8,11,25,13.5135135135135
"64",8,13,5,50
"65",8,14,10,66.6666666666667
"66",9,12,35,23.3333333333333
"67",9,13,15,17.6470588235294
"68",9,14,5,14.2857142857143
"69",10,12,5,20
"70",10,13,20,18.1818181818182
"71",10,14,15,15
"72",11,13,5,25
"73",11,14,10,16.6666666666667
"74",12,15,35,33.3333333333333
"75",12,16,15,25
"76",12,17,5,16.6666666666667
"77",13,15,5,33.3333333333333
"78",13,16,15,30
"79",13,17,10,11.7647058823529
"80",14,17,5,33.3333333333333
