"","Source","Target","gender","n"
"1",0,5,"M",10
"2",0,4,"M",25
"3",0,3,"M",150
"4",0,8,"M",5
"5",0,7,"M",15
"6",0,6,"M",25
"7",0,11,"M",15
"8",0,10,"M",20
"9",0,9,"M",50
"10",0,14,"M",5
"11",0,12,"M",5
"12",1,5,"M",160
"13",1,4,"M",255
"14",1,3,"M",235
"15",1,8,"M",35
"16",1,7,"M",20
"17",1,6,"M",15
"18",1,11,"M",15
"19",1,10,"M",15
"20",1,9,"M",10
"21",2,5,"M",375
"22",2,4,"M",220
"23",2,3,"M",125
"24",2,8,"M",90
"25",2,7,"M",30
"26",2,6,"M",15
"27",2,11,"M",40
"28",2,10,"M",20
"29",2,9,"M",10
"30",2,14,"M",5
"31",2,12,"M",5
"32",3,8,"M",55
"33",3,7,"M",70
"34",3,6,"M",190
"35",3,11,"M",5
"36",3,10,"M",5
"37",3,9,"M",15
"38",3,14,"M",5
"39",4,8,"M",90
"40",4,7,"M",175
"41",4,6,"M",50
"42",4,11,"M",5
"43",4,10,"M",10
"44",4,9,"M",5
"45",5,8,"M",160
"46",5,7,"M",65
"47",5,6,"M",5
"48",5,11,"M",5
"49",5,10,"M",5
"50",6,11,"M",30
"51",6,10,"M",70
"52",6,9,"M",115
"53",6,14,"M",5
"54",7,11,"M",85
"55",7,10,"M",90
"56",7,9,"M",20
"57",8,11,"M",50
"58",8,10,"M",15
"59",8,9,"M",5
"60",9,14,"M",25
"61",9,13,"M",45
"62",9,12,"M",70
"63",10,14,"M",75
"64",10,13,"M",35
"65",10,12,"M",10
"66",11,14,"M",10
"67",11,13,"M",5
