"","Source","Target","gender","n"
"1",0,8,"M",10
"2",0,7,"M",25
"3",0,6,"M",150
"4",0,11,"M",5
"5",0,10,"M",10
"6",0,9,"M",20
"7",0,5,"M",145
"8",0,4,"M",355
"9",0,3,"M",480
"10",0,14,"M",5
"11",0,13,"M",5
"12",0,12,"M",35
"13",0,17,"M",5
"14",0,15,"M",5
"15",1,8,"M",150
"16",1,7,"M",255
"17",1,6,"M",235
"18",1,11,"M",15
"19",1,10,"M",10
"20",1,9,"M",10
"21",1,5,"M",265
"22",1,4,"M",175
"23",1,3,"M",40
"24",1,14,"M",10
"25",1,13,"M",5
"26",1,12,"M",5
"27",2,8,"M",335
"28",2,7,"M",220
"29",2,6,"M",125
"30",2,11,"M",65
"31",2,10,"M",20
"32",2,9,"M",15
"33",2,5,"M",340
"34",2,4,"M",80
"35",2,3,"M",40
"36",2,14,"M",20
"37",2,13,"M",15
"38",2,12,"M",5
"39",2,17,"M",5
"40",2,15,"M",5
"41",3,11,"M",5
"42",3,10,"M",5
"43",3,9,"M",5
"44",3,14,"M",5
"45",3,13,"M",5
"46",3,12,"M",10
"47",4,8,"M",5
"48",4,7,"M",5
"49",4,11,"M",10
"50",4,10,"M",10
"51",4,9,"M",5
"52",4,14,"M",10
"53",4,13,"M",20
"54",4,12,"M",5
"55",5,8,"M",50
"56",5,7,"M",5
"57",5,11,"M",40
"58",5,10,"M",15
"59",5,9,"M",5
"60",5,14,"M",20
"61",5,13,"M",5
"62",5,12,"M",5
"63",6,11,"M",55
"64",6,10,"M",70
"65",6,9,"M",190
"66",6,14,"M",5
"67",6,13,"M",5
"68",6,12,"M",15
"69",6,17,"M",5
"70",7,11,"M",90
"71",7,10,"M",175
"72",7,9,"M",50
"73",7,14,"M",5
"74",7,13,"M",10
"75",7,12,"M",5
"76",8,11,"M",160
"77",8,10,"M",65
"78",8,9,"M",5
"79",8,14,"M",5
"80",8,13,"M",5
"81",9,14,"M",30
"82",9,13,"M",70
"83",9,12,"M",115
"84",9,17,"M",5
"85",10,14,"M",85
"86",10,13,"M",90
"87",10,12,"M",20
"88",11,14,"M",50
"89",11,13,"M",15
"90",11,12,"M",5
"91",12,17,"M",25
"92",12,16,"M",45
"93",12,15,"M",70
"94",13,17,"M",75
"95",13,16,"M",35
"96",13,15,"M",10
"97",14,17,"M",10
"98",14,16,"M",5
