"","Source","Target","gender","n"
"1",0,3,150,68.1818181818182
"2",0,4,25,83.3333333333333
"3",0,5,10,66.6666666666667
"4",0,6,25,83.3333333333333
"5",0,7,15,75
"6",0,8,5,50
"7",0,9,50,66.6666666666667
"8",0,10,20,66.6666666666667
"9",0,11,15,75
"10",1,3,235,83.9285714285714
"11",1,4,255,83.6065573770492
"12",1,5,160,74.4186046511628
"13",1,6,15,75
"14",1,7,20,80
"15",1,8,35,77.7777777777778
"16",1,9,10,66.6666666666667
"17",1,10,15,75
"18",1,11,15,75
"19",2,3,125,86.2068965517241
"20",2,4,220,84.6153846153846
"21",2,5,375,78.125
"22",2,6,15,75
"23",2,7,30,85.7142857142857
"24",2,8,90,81.8181818181818
"25",2,9,10,50
"26",2,10,20,80
"27",2,11,40,88.8888888888889
"28",3,6,190,77.5510204081633
"29",3,7,70,82.3529411764706
"30",3,8,55,84.6153846153846
"31",3,9,15,75
"32",3,10,5,50
"33",4,6,50,83.3333333333333
"34",4,7,175,85.3658536585366
"35",4,8,90,85.7142857142857
"36",4,11,5,50
"37",5,7,65,76.4705882352941
"38",5,8,160,86.4864864864865
"39",5,10,5,50
"40",5,11,5,33.3333333333333
"41",6,9,115,76.6666666666667
"42",6,10,70,82.3529411764706
"43",6,11,30,85.7142857142857
"44",7,9,20,80
"45",7,10,90,81.8181818181818
"46",7,11,85,85
"47",8,10,15,75
"48",8,11,50,83.3333333333333
"49",9,12,70,66.6666666666667
"50",9,13,45,75
"51",9,14,25,83.3333333333333
"52",10,12,10,66.6666666666667
"53",10,13,35,70
"54",10,14,75,88.2352941176471
"55",11,14,10,66.6666666666667
