"","Source","Target","gender","n"
"1",0,3,480,53.9325842696629
"2",0,4,355,39.8876404494382
"3",0,5,145,33.7209302325581
"4",0,6,150,68.1818181818182
"5",0,7,25,83.3333333333333
"6",0,8,10,66.6666666666667
"7",0,9,20,80
"8",0,10,10,66.6666666666667
"9",0,11,5,50
"10",0,12,35,87.5
"11",0,13,5,50
"12",0,14,5,50
"13",1,3,40,72.7272727272727
"14",1,4,175,54.6875
"15",1,5,265,44.9152542372881
"16",1,6,235,83.9285714285714
"17",1,7,255,85
"18",1,8,150,75
"19",1,9,10,66.6666666666667
"20",1,10,10,66.6666666666667
"21",1,11,15,75
"22",1,12,5,50
"23",1,14,10,66.6666666666667
"24",2,3,40,53.3333333333333
"25",2,4,80,48.4848484848485
"26",2,5,340,52.3076923076923
"27",2,6,125,86.2068965517241
"28",2,7,220,84.6153846153846
"29",2,8,335,78.8235294117647
"30",2,9,15,75
"31",2,10,20,80
"32",2,11,65,81.25
"33",2,12,5,50
"34",2,14,20,80
"35",3,9,5,50
"36",3,12,10,50
"37",3,13,5,50
"38",3,14,5,50
"39",4,8,5,50
"40",4,9,5,50
"41",4,10,10,66.6666666666667
"42",4,11,10,66.6666666666667
"43",4,12,5,25
"44",4,13,20,80
"45",4,14,10,66.6666666666667
"46",5,7,5,50
"47",5,8,50,71.4285714285714
"48",5,10,15,75
"49",5,11,40,80
"50",5,12,5,50
"51",5,13,5,50
"52",5,14,20,80
"53",6,9,190,77.5510204081633
"54",6,10,70,82.3529411764706
"55",6,11,55,84.6153846153846
"56",6,12,15,75
"57",6,13,5,50
"58",7,9,50,83.3333333333333
"59",7,10,175,85.3658536585366
"60",7,11,90,85.7142857142857
"61",7,14,5,50
"62",8,10,65,76.4705882352941
"63",8,11,160,86.4864864864865
"64",8,13,5,50
"65",8,14,5,33.3333333333333
"66",9,12,115,76.6666666666667
"67",9,13,70,82.3529411764706
"68",9,14,30,85.7142857142857
"69",10,12,20,80
"70",10,13,90,81.8181818181818
"71",10,14,85,85
"72",11,13,15,75
"73",11,14,50,83.3333333333333
"74",12,15,70,66.6666666666667
"75",12,16,45,75
"76",12,17,25,83.3333333333333
"77",13,15,10,66.6666666666667
"78",13,16,35,70
"79",13,17,75,88.2352941176471
"80",14,17,10,66.6666666666667
