"","Source","Target","gender","n"
"1",0,5,"F",3.7037037037037
"2",0,4,"F",3.7037037037037
"3",0,3,"F",51.8518518518518
"4",0,8,"F",3.7037037037037
"5",0,7,"F",3.7037037037037
"6",0,6,"F",3.7037037037037
"7",0,11,"F",3.7037037037037
"8",0,10,"F",7.40740740740741
"9",0,9,"F",18.5185185185185
"10",1,5,"F",29.7297297297297
"11",1,4,"F",27.027027027027
"12",1,3,"F",24.3243243243243
"13",1,8,"F",5.40540540540541
"14",1,7,"F",2.7027027027027
"15",1,6,"F",2.7027027027027
"16",1,11,"F",2.7027027027027
"17",1,10,"F",2.7027027027027
"18",1,9,"F",2.7027027027027
"19",2,5,"F",48.8372093023256
"20",2,4,"F",18.6046511627907
"21",2,3,"F",9.30232558139535
"22",2,8,"F",9.30232558139535
"23",2,7,"F",2.32558139534884
"24",2,6,"F",2.32558139534884
"25",2,11,"F",2.32558139534884
"26",2,10,"F",2.32558139534884
"27",2,9,"F",4.65116279069767
"28",3,8,"F",11.1111111111111
"29",3,7,"F",16.6666666666667
"30",3,6,"F",61.1111111111111
"31",3,10,"F",5.55555555555556
"32",3,9,"F",5.55555555555556
"33",4,8,"F",25
"34",4,7,"F",50
"35",4,6,"F",16.6666666666667
"36",4,11,"F",8.33333333333333
"37",5,8,"F",38.4615384615385
"38",5,7,"F",30.7692307692308
"39",5,11,"F",15.3846153846154
"40",5,10,"F",7.69230769230769
"41",5,9,"F",7.69230769230769
"42",6,11,"F",9.09090909090909
"43",6,10,"F",27.2727272727273
"44",6,9,"F",63.6363636363636
"45",7,11,"F",37.5
"46",7,10,"F",50
"47",7,9,"F",12.5
"48",8,11,"F",66.6666666666667
"49",8,10,"F",33.3333333333333
"50",9,14,"F",9.09090909090909
"51",9,13,"F",27.2727272727273
"52",9,12,"F",63.6363636363636
"53",10,14,"F",33.3333333333333
"54",10,13,"F",50
"55",10,12,"F",16.6666666666667
"56",11,14,"F",100
