"","Source","Target","gender","n"
"1",0,8,"F",0.373134328358209
"2",0,7,"F",0.373134328358209
"3",0,6,"F",5.22388059701492
"4",0,11,"F",0.373134328358209
"5",0,10,"F",0.373134328358209
"6",0,9,"F",0.373134328358209
"7",0,5,"F",21.2686567164179
"8",0,4,"F",39.9253731343284
"9",0,3,"F",30.5970149253731
"10",0,14,"F",0.373134328358209
"11",0,13,"F",0.373134328358209
"12",0,12,"F",0.373134328358209
"13",1,8,"F",7.69230769230769
"14",1,7,"F",6.92307692307692
"15",1,6,"F",6.92307692307692
"16",1,11,"F",0.769230769230769
"17",1,10,"F",0.769230769230769
"18",1,9,"F",0.769230769230769
"19",1,5,"F",50
"20",1,4,"F",22.3076923076923
"21",1,3,"F",2.30769230769231
"22",1,14,"F",0.769230769230769
"23",1,12,"F",0.769230769230769
"24",2,8,"F",14.6341463414634
"25",2,7,"F",6.50406504065041
"26",2,6,"F",3.2520325203252
"27",2,11,"F",2.4390243902439
"28",2,10,"F",0.813008130081301
"29",2,9,"F",0.813008130081301
"30",2,5,"F",50.4065040650407
"31",2,4,"F",13.8211382113821
"32",2,3,"F",5.69105691056911
"33",2,14,"F",0.813008130081301
"34",2,12,"F",0.813008130081301
"35",3,9,"F",20
"36",3,14,"F",20
"37",3,13,"F",20
"38",3,12,"F",40
"39",4,8,"F",11.1111111111111
"40",4,11,"F",11.1111111111111
"41",4,10,"F",11.1111111111111
"42",4,9,"F",11.1111111111111
"43",4,14,"F",11.1111111111111
"44",4,13,"F",11.1111111111111
"45",4,12,"F",33.3333333333333
"46",5,8,"F",36.3636363636364
"47",5,7,"F",9.09090909090909
"48",5,11,"F",18.1818181818182
"49",5,10,"F",9.09090909090909
"50",5,14,"F",9.09090909090909
"51",5,13,"F",9.09090909090909
"52",5,12,"F",9.09090909090909
"53",6,11,"F",11.1111111111111
"54",6,10,"F",16.6666666666667
"55",6,9,"F",61.1111111111111
"56",6,13,"F",5.55555555555556
"57",6,12,"F",5.55555555555556
"58",7,11,"F",25
"59",7,10,"F",50
"60",7,9,"F",16.6666666666667
"61",7,14,"F",8.33333333333333
"62",8,11,"F",38.4615384615385
"63",8,10,"F",30.7692307692308
"64",8,14,"F",15.3846153846154
"65",8,13,"F",7.69230769230769
"66",8,12,"F",7.69230769230769
"67",9,14,"F",9.09090909090909
"68",9,13,"F",27.2727272727273
"69",9,12,"F",63.6363636363636
"70",10,14,"F",37.5
"71",10,13,"F",50
"72",10,12,"F",12.5
"73",11,14,"F",66.6666666666667
"74",11,13,"F",33.3333333333333
"75",12,17,"F",9.09090909090909
"76",12,16,"F",27.2727272727273
"77",12,15,"F",63.6363636363636
"78",13,17,"F",33.3333333333333
"79",13,16,"F",50
"80",13,15,"F",16.6666666666667
"81",14,17,"F",100
