"","Source","Target","gender","n"
"1",0,5,"M",3.07692307692308
"2",0,4,"M",7.69230769230769
"3",0,3,"M",46.1538461538462
"4",0,8,"M",1.53846153846154
"5",0,7,"M",4.61538461538462
"6",0,6,"M",7.69230769230769
"7",0,11,"M",4.61538461538462
"8",0,10,"M",6.15384615384615
"9",0,9,"M",15.3846153846154
"10",0,14,"M",1.53846153846154
"11",0,12,"M",1.53846153846154
"12",1,5,"M",21.0526315789474
"13",1,4,"M",33.5526315789474
"14",1,3,"M",30.9210526315789
"15",1,8,"M",4.60526315789474
"16",1,7,"M",2.63157894736842
"17",1,6,"M",1.97368421052632
"18",1,11,"M",1.97368421052632
"19",1,10,"M",1.97368421052632
"20",1,9,"M",1.31578947368421
"21",2,5,"M",40.1069518716578
"22",2,4,"M",23.5294117647059
"23",2,3,"M",13.3689839572193
"24",2,8,"M",9.62566844919786
"25",2,7,"M",3.20855614973262
"26",2,6,"M",1.60427807486631
"27",2,11,"M",4.27807486631016
"28",2,10,"M",2.13903743315508
"29",2,9,"M",1.06951871657754
"30",2,14,"M",0.53475935828877
"31",2,12,"M",0.53475935828877
"32",3,8,"M",15.9420289855072
"33",3,7,"M",20.2898550724638
"34",3,6,"M",55.0724637681159
"35",3,11,"M",1.44927536231884
"36",3,10,"M",1.44927536231884
"37",3,9,"M",4.34782608695652
"38",3,14,"M",1.44927536231884
"39",4,8,"M",26.865671641791
"40",4,7,"M",52.2388059701493
"41",4,6,"M",14.9253731343284
"42",4,11,"M",1.49253731343284
"43",4,10,"M",2.98507462686567
"44",4,9,"M",1.49253731343284
"45",5,8,"M",66.6666666666667
"46",5,7,"M",27.0833333333333
"47",5,6,"M",2.08333333333333
"48",5,11,"M",2.08333333333333
"49",5,10,"M",2.08333333333333
"50",6,11,"M",13.6363636363636
"51",6,10,"M",31.8181818181818
"52",6,9,"M",52.2727272727273
"53",6,14,"M",2.27272727272727
"54",7,11,"M",43.5897435897436
"55",7,10,"M",46.1538461538462
"56",7,9,"M",10.2564102564103
"57",8,11,"M",71.4285714285714
"58",8,10,"M",21.4285714285714
"59",8,9,"M",7.14285714285714
"60",9,14,"M",17.8571428571429
"61",9,13,"M",32.1428571428571
"62",9,12,"M",50
"63",10,14,"M",62.5
"64",10,13,"M",29.1666666666667
"65",10,12,"M",8.33333333333333
"66",11,14,"M",66.6666666666667
"67",11,13,"M",33.3333333333333
