"","Source","Target","gender","n"
"1",0,8,"M",0.796812749003984
"2",0,7,"M",1.99203187250996
"3",0,6,"M",11.9521912350598
"4",0,11,"M",0.398406374501992
"5",0,10,"M",0.796812749003984
"6",0,9,"M",1.59362549800797
"7",0,5,"M",11.5537848605578
"8",0,4,"M",28.2868525896414
"9",0,3,"M",38.2470119521912
"10",0,14,"M",0.398406374501992
"11",0,13,"M",0.398406374501992
"12",0,12,"M",2.78884462151394
"13",0,17,"M",0.398406374501992
"14",0,15,"M",0.398406374501992
"15",1,8,"M",12.7659574468085
"16",1,7,"M",21.7021276595745
"17",1,6,"M",20
"18",1,11,"M",1.27659574468085
"19",1,10,"M",0.851063829787234
"20",1,9,"M",0.851063829787234
"21",1,5,"M",22.5531914893617
"22",1,4,"M",14.8936170212766
"23",1,3,"M",3.40425531914894
"24",1,14,"M",0.851063829787234
"25",1,13,"M",0.425531914893617
"26",1,12,"M",0.425531914893617
"27",2,8,"M",25.968992248062
"28",2,7,"M",17.0542635658915
"29",2,6,"M",9.68992248062016
"30",2,11,"M",5.03875968992248
"31",2,10,"M",1.55038759689922
"32",2,9,"M",1.16279069767442
"33",2,5,"M",26.3565891472868
"34",2,4,"M",6.2015503875969
"35",2,3,"M",3.10077519379845
"36",2,14,"M",1.55038759689922
"37",2,13,"M",1.16279069767442
"38",2,12,"M",0.387596899224806
"39",2,17,"M",0.387596899224806
"40",2,15,"M",0.387596899224806
"41",3,11,"M",14.2857142857143
"42",3,10,"M",14.2857142857143
"43",3,9,"M",14.2857142857143
"44",3,14,"M",14.2857142857143
"45",3,13,"M",14.2857142857143
"46",3,12,"M",28.5714285714286
"47",4,8,"M",7.14285714285714
"48",4,7,"M",7.14285714285714
"49",4,11,"M",14.2857142857143
"50",4,10,"M",14.2857142857143
"51",4,9,"M",7.14285714285714
"52",4,14,"M",14.2857142857143
"53",4,13,"M",28.5714285714286
"54",4,12,"M",7.14285714285714
"55",5,8,"M",34.4827586206897
"56",5,7,"M",3.44827586206897
"57",5,11,"M",27.5862068965517
"58",5,10,"M",10.3448275862069
"59",5,9,"M",3.44827586206897
"60",5,14,"M",13.7931034482759
"61",5,13,"M",3.44827586206897
"62",5,12,"M",3.44827586206897
"63",6,11,"M",15.9420289855072
"64",6,10,"M",20.2898550724638
"65",6,9,"M",55.0724637681159
"66",6,14,"M",1.44927536231884
"67",6,13,"M",1.44927536231884
"68",6,12,"M",4.34782608695652
"69",6,17,"M",1.44927536231884
"70",7,11,"M",26.865671641791
"71",7,10,"M",52.2388059701493
"72",7,9,"M",14.9253731343284
"73",7,14,"M",1.49253731343284
"74",7,13,"M",2.98507462686567
"75",7,12,"M",1.49253731343284
"76",8,11,"M",66.6666666666667
"77",8,10,"M",27.0833333333333
"78",8,9,"M",2.08333333333333
"79",8,14,"M",2.08333333333333
"80",8,13,"M",2.08333333333333
"81",9,14,"M",13.6363636363636
"82",9,13,"M",31.8181818181818
"83",9,12,"M",52.2727272727273
"84",9,17,"M",2.27272727272727
"85",10,14,"M",43.5897435897436
"86",10,13,"M",46.1538461538462
"87",10,12,"M",10.2564102564103
"88",11,14,"M",71.4285714285714
"89",11,13,"M",21.4285714285714
"90",11,12,"M",7.14285714285714
"91",12,17,"M",17.8571428571429
"92",12,16,"M",32.1428571428571
"93",12,15,"M",50
"94",13,17,"M",62.5
"95",13,16,"M",29.1666666666667
"96",13,15,"M",8.33333333333333
"97",14,17,"M",66.6666666666667
"98",14,16,"M",33.3333333333333
